func_name,return_type,error_val(s),mubi,biff_key,filename:linenumber
nrrdDistanceL2Biased,int,1,0,nrrd,nrrd/filt.c:824
nrrdDistanceL2Signed,int,1,0,nrrd,nrrd/filt.c:836
nrrdHisto,int,1,0,nrrd,nrrd/histogram.c:38
nrrdHistoCheck,int,1,0,nrrd,nrrd/histogram.c:158
nrrdHistoDraw,int,1,0,nrrd,nrrd/histogram.c:187
nrrdHistoAxis,int,1,0,nrrd,nrrd/histogram.c:323
nrrdHistoJoint,int,1,0,nrrd,nrrd/histogram.c:437
nrrdHistoThresholdOtsu,int,1,0,nrrd,nrrd/histogram.c:647
nrrdKernelParse,int,1,0,nrrd,nrrd/kernel.c:3030
nrrdKernelSpecParse,int,1,0,nrrd,nrrd/kernel.c:3210
nrrdKernelSpecSprint,int,1,0,nrrd,nrrd/kernel.c:3232
nrrdKernelSprint,int,1,0,nrrd,nrrd/kernel.c:3287
nrrdKernelCompare,int,1,0,nrrd,nrrd/kernel.c:3305
nrrdKernelSpecCompare,int,1,0,nrrd,nrrd/kernel.c:3354
nrrdKernelCheck,int,1,0,nrrd,nrrd/kernel.c:3427
nrrdConvert,int,1,0,nrrd,nrrd/map.c:232
nrrdClampConvert,int,1,0,nrrd,nrrd/map.c:252
nrrdCastClampRound,int,1,0,nrrd,nrrd/map.c:278
nrrdQuantize,int,1,0,nrrd,nrrd/map.c:300
nrrdUnquantize,int,1,0,nrrd,nrrd/map.c:472
nrrdHistoEq,int,1,0,nrrd,nrrd/map.c:609
nrrdProject,int,1,0,nrrd,nrrd/measure.c:1134
nrrdBoundarySpecCheck,int,1,0,nrrd,nrrd/methodsNrrd.c:91
nrrdBoundarySpecParse,int,1,0,nrrd,nrrd/methodsNrrd.c:115
nrrdBoundarySpecSprint,int,1,0,nrrd,nrrd/methodsNrrd.c:174
nrrdBoundarySpecCompare,int,1,0,nrrd,nrrd/methodsNrrd.c:196
nrrdBasicInfoCopy,int,1,0,nrrd,nrrd/methodsNrrd.c:539
nrrdWrap_nva,int,1,0,nrrd,nrrd/methodsNrrd.c:815
nrrdWrap_va,int,1,0,nrrd,nrrd/methodsNrrd.c:846
nrrdCopy,int,1,0,nrrd,nrrd/methodsNrrd.c:937
nrrdAlloc_nva,int,1,0,nrrd,nrrd/methodsNrrd.c:967
nrrdAlloc_va,int,1,0,nrrd,nrrd/methodsNrrd.c:1016
nrrdMaybeAlloc_nva,int,1,0,nrrd,nrrd/methodsNrrd.c:1137
nrrdMaybeAlloc_va,int,1,0,nrrd,nrrd/methodsNrrd.c:1154
nrrdCompare,int,1,0,nrrd,nrrd/methodsNrrd.c:1195
nrrdPPM,int,1,0,nrrd,nrrd/methodsNrrd.c:1381
nrrdPGM,int,1,0,nrrd,nrrd/methodsNrrd.c:1401
nrrdSpaceVectorParse,int,1,4,nrrd,nrrd/parseNrrd.c:519
_nrrdDataFNCheck,int,1,3,nrrd,nrrd/parseNrrd.c:1196
nrrdRangePercentileSet,int,1,0,nrrd,nrrd/range.c:107
nrrdRangePercentileFromStringSet,int,1,0,nrrd,nrrd/range.c:209
nrrdOneLine,int,1,0,nrrd,nrrd/read.c:74
nrrdLineSkip,int,1,0,nrrd,nrrd/read.c:225
nrrdByteSkip,int,1,0,nrrd,nrrd/read.c:321
nrrdRead,int,1,0,nrrd,nrrd/read.c:485
nrrdStringRead,int,1,0,nrrd,nrrd/read.c:505
nrrdLoad,int,1|2,0,nrrd,nrrd/read.c:601
nrrdLoadMulti,int,1,0,nrrd,nrrd/read.c:668
nrrdInvertPerm,int,1,0,nrrd,nrrd/reorder.c:32
nrrdAxesInsert,int,1,0,nrrd,nrrd/reorder.c:84
nrrdAxesPermute,int,1,0,nrrd,nrrd/reorder.c:150
nrrdShuffle,int,1,0,nrrd,nrrd/reorder.c:304
nrrdAxesSwap,int,1,0,nrrd,nrrd/reorder.c:449
nrrdFlip,int,1,0,nrrd,nrrd/reorder.c:485
nrrdJoin,int,1,0,nrrd,nrrd/reorder.c:566
nrrdAxesSplit,int,1,0,nrrd,nrrd/reorder.c:813
nrrdAxesDelete,int,1,0,nrrd,nrrd/reorder.c:875
nrrdAxesMerge,int,1,0,nrrd,nrrd/reorder.c:927
nrrdReshape_nva,int,1,0,nrrd,nrrd/reorder.c:977
nrrdReshape_va,int,1,0,nrrd,nrrd/reorder.c:1045
nrrdBlock,int,1,0,nrrd,nrrd/reorder.c:1082
nrrdUnblock,int,1,0,nrrd,nrrd/reorder.c:1153
nrrdTile2D,int,1,0,nrrd,nrrd/reorder.c:1252
nrrdUntile2D,int,1,0,nrrd,nrrd/reorder.c:1366
nrrdResampleDefaultCenterSet,int,1,0,nrrd,nrrd/resampleContext.c:168
nrrdResampleNonExistentSet,int,1,0,nrrd,nrrd/resampleContext.c:189
nrrdResampleRangeSet,int,1,0,nrrd,nrrd/resampleContext.c:322
nrrdResampleOverrideCenterSet,int,1,0,nrrd,nrrd/resampleContext.c:341
nrrdResampleBoundarySet,int,1,0,nrrd,nrrd/resampleContext.c:398
nrrdResamplePadValueSet,int,1,0,nrrd,nrrd/resampleContext.c:419
nrrdResampleBoundarySpecSet,int,1,0,nrrd,nrrd/resampleContext.c:436
nrrdResampleRenormalizeSet,int,1,0,nrrd,nrrd/resampleContext.c:457
nrrdResampleTypeOutSet,int,1,0,nrrd,nrrd/resampleContext.c:474
nrrdResampleRoundSet,int,1,0,nrrd,nrrd/resampleContext.c:499
nrrdResampleClampSet,int,1,0,nrrd,nrrd/resampleContext.c:516
nrrdResampleExecute,int,1,0,nrrd,nrrd/resampleContext.c:1451
nrrdFFTWWisdomRead,int,1,0,nrrd,nrrd/fftNrrd.c:32
nrrdFFT,int,1,0,nrrd,nrrd/fftNrrd.c:88
nrrdFFTWWisdomWrite,int,1,0,nrrd,nrrd/fftNrrd.c:285
nrrdSimpleResample,int,1,0,nrrd,nrrd/resampleNrrd.c:49
nrrdSpatialResample,int,1,0,nrrd,nrrd/resampleNrrd.c:519
nrrdSpaceSet,int,1,0,nrrd,nrrd/simple.c:81
nrrdSpaceDimensionSet,int,1,0,nrrd,nrrd/simple.c:118
nrrdSpaceOriginSet,int,1,0,nrrd,nrrd/simple.c:170
nrrdContentSet_va,int,1,0,nrrd,nrrd/simple.c:471
_nrrdCheck,int,1,3,nrrd,nrrd/simple.c:1075
nrrdCheck,int,1,0,nrrd,nrrd/simple.c:1112
nrrdSameSize,int,0,3,nrrd,nrrd/simple.c:1133
nrrdSanity,int,0,0,nrrd,nrrd/simple.c:1365
nrrdSlice,int,1,0,nrrd,nrrd/subset.c:37
nrrdCrop,int,1,0,nrrd,nrrd/subset.c:182
nrrdSliceSelect,int,1,0,nrrd,nrrd/subset.c:364
nrrdSample_nva,int,1,0,nrrd,nrrd/subset.c:576
nrrdSample_va,int,1,0,nrrd,nrrd/subset.c:615
nrrdSimpleCrop,int,1,0,nrrd,nrrd/subset.c:644
nrrdCropAuto,int,1,0,nrrd,nrrd/subset.c:665
nrrdSplice,int,1,0,nrrd,nrrd/superset.c:30
nrrdInset,int,1,0,nrrd,nrrd/superset.c:155
nrrdPad_va,int,1,0,nrrd,nrrd/superset.c:279
nrrdPad_nva,int,1,0,nrrd,nrrd/superset.c:485
nrrdSimplePad_va,int,1,0,nrrd,nrrd/superset.c:513
nrrdSimplePad_nva,int,1,0,nrrd,nrrd/superset.c:551
nrrdIoStateSet,int,1,0,nrrd,nrrd/write.c:28
nrrdIoStateEncodingSet,int,1,0,nrrd,nrrd/write.c:101
nrrdIoStateFormatSet,int,1,0,nrrd,nrrd/write.c:121
nrrdWrite,int,1,0,nrrd,nrrd/write.c:941
nrrdStringWrite,int,1,0,nrrd,nrrd/write.c:957
nrrdSave,int,1,0,nrrd,nrrd/write.c:978
nrrdSaveMulti,int,1,0,nrrd,nrrd/write.c:1044
